,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
28871,nwisny.01.01602339,,,,Lead,,
28936,nwisny.01.01602787,,,,Copper,,
28937,nwisny.01.01602787,,,,Lead,,
28942,nwisny.01.01602787,,,,Copper,,
28943,nwisny.01.01602787,,,,Lead,,
29008,nwisny.01.01700084,,,,Copper,,
29009,nwisny.01.01700084,,,,Lead,,
29014,nwisny.01.01700084,,,,Copper,,
29015,nwisny.01.01700084,,,,Lead,,
29092,nwisny.01.01600929,,,,Copper,,
29093,nwisny.01.01600929,,,,Lead,,
29098,nwisny.01.01600929,,,,Copper,,
29099,nwisny.01.01600929,,,,Lead,,
29151,nwisny.01.01601165,,,,Copper,,
29152,nwisny.01.01601165,,,,Lead,,
29157,nwisny.01.01601165,,,,Copper,,
29158,nwisny.01.01601165,,,,Lead,,
29219,nwisny.01.01601695,,,,Copper,,
29220,nwisny.01.01601695,,,,Lead,,
29225,nwisny.01.01601695,,,,Copper,,
29226,nwisny.01.01601695,,,,Lead,,
29361,nwisny.01.01602336,,,,Copper,,
29362,nwisny.01.01602336,,,,Lead,,
29367,nwisny.01.01602336,,,,Copper,,
29368,nwisny.01.01602336,,,,Lead,,
29433,nwisny.01.01602785,,,,Copper,,
29434,nwisny.01.01602785,,,,Lead,,
29439,nwisny.01.01602785,,,,Copper,,
29440,nwisny.01.01602785,,,,Lead,,
29505,nwisny.01.01700083,,,,Copper,,
29506,nwisny.01.01700083,,,,Lead,,
29511,nwisny.01.01700083,,,,Copper,,
29512,nwisny.01.01700083,,,,Lead,,
43355,nwisny.01.01600934,,,,Copper,,
43356,nwisny.01.01600934,,,,Lead,,
43361,nwisny.01.01600934,,,,Copper,,
43362,nwisny.01.01600934,,,,Lead,,
43415,nwisny.01.01601160,,,,Copper,,
43416,nwisny.01.01601160,,,,Lead,,
43421,nwisny.01.01601160,,,,Copper,,
43422,nwisny.01.01601160,,,,Lead,,
43477,nwisny.01.01601698,,,,Copper,,
43478,nwisny.01.01601698,,,,Lead,,
43492,nwisny.01.01601698,,,,Copper,,
43493,nwisny.01.01601698,,,,Lead,,
43626,nwisny.01.01602340,,,,Copper,,
43627,nwisny.01.01602340,,,,Lead,,
43632,nwisny.01.01602340,,,,Copper,,
43633,nwisny.01.01602340,,,,Lead,,
43700,nwisny.01.01602782,,,,Copper,,
43701,nwisny.01.01602782,,,,Lead,,
43706,nwisny.01.01602782,,,,Copper,,
43707,nwisny.01.01602782,,,,Lead,,
43771,nwisny.01.01700085,,,,Copper,,
43772,nwisny.01.01700085,,,,Lead,,
43777,nwisny.01.01700085,,,,Copper,,
43778,nwisny.01.01700085,,,,Lead,,
44057,nwisny.01.01600869,,,,Copper,,
44058,nwisny.01.01600869,,,,Lead,,
44063,nwisny.01.01600869,,,,Copper,,
44064,nwisny.01.01600869,,,,Lead,,
44116,nwisny.01.01601154,,,,Copper,,
44117,nwisny.01.01601154,,,,Lead,,
44122,nwisny.01.01601154,,,,Copper,,
44123,nwisny.01.01601154,,,,Lead,,
44178,nwisny.01.01601824,,,,Copper,,
44179,nwisny.01.01601824,,,,Lead,,
44193,nwisny.01.01601824,,,,Copper,,
44194,nwisny.01.01601824,,,,Lead,,
44288,nwisny.01.01602695,,,,Copper,,
44289,nwisny.01.01602695,,,,Lead,,
44294,nwisny.01.01602695,,,,Copper,,
44295,nwisny.01.01602695,,,,Lead,,
44398,nwisny.01.01603024,,,,Copper,,
44399,nwisny.01.01603024,,,,Lead,,
44404,nwisny.01.01603024,,,,Copper,,
44405,nwisny.01.01603024,,,,Lead,,
44469,nwisny.01.01700100,,,,Copper,,
44470,nwisny.01.01700100,,,,Lead,,
44475,nwisny.01.01700100,,,,Copper,,
44476,nwisny.01.01700100,,,,Lead,,
44550,nwisny.01.01600788,,,,Copper,,
44551,nwisny.01.01600788,,,,Lead,,
44556,nwisny.01.01600788,,,,Copper,,
44557,nwisny.01.01600788,,,,Lead,,
44601,nwisny.01.01600983,,,,Copper,,
44602,nwisny.01.01600983,,,,Lead,,
